(x,y)

179,361
179,362
176,365
177,365
179,363
180,363
181,362
182,362
184,364
185,364
186,365
186,369
186,365
183,362
181,362
180,363
179,362
337,350
337,352
336,353
338,355
339,355
337,353
309,350
310,351
309,352
309,353
306,356
274,356
273,355
271,355
270,354
269,354
270,355
273,355
274,356
306,356
307,355
308,355
310,353
309,352
310,351
112,346
114,348
115,348
113,346
280,342
280,344
279,345
276,345
294,345
295,346
297,346
298,345
301,345
302,346
307,346
309,348
309,347
308,347
307,346
302,346
301,345
298,345
297,346
295,346
294,345
282,345
280,343
460,315
459,316
455,316
453,318
453,320
452,321
452,330
453,331
453,332
452,333
453,334
452,335
452,343
450,345
447,345
446,346
428,346
427,345
426,346
416,346
415,345
411,345
410,346
407,346
406,345
376,345
373,342
373,343
375,345
406,345
407,346
410,346
411,345
415,345
416,346
426,346
427,345
428,346
446,346
447,345
451,345
452,344
452,335
453,334
452,333
453,332
453,331
452,330
452,321
453,320
453,319
456,316
460,316
462,318
462,319
463,320
462,321
463,322
463,349
462,350
462,353
460,355
457,355
456,356
341,356
456,356
457,355
461,355
462,354
462,350
463,349
463,322
462,321
463,320
462,319
462,317
157,309
157,311
156,312
156,319
155,320
155,328
156,329
156,336
155,337
155,341
156,342
155,343
155,344
153,346
152,346
151,347
151,349
150,350
150,353
153,356
157,356
158,355
162,355
162,354
163,353
163,312
162,311
162,310
161,309
111,309
110,310
110,311
108,313
104,313
103,312
63,312
62,311
60,311
58,313
58,319
57,320
57,333
58,334
58,337
57,338
58,339
58,343
59,344
59,345
63,345
64,346
67,346
68,345
70,345
71,346
85,346
86,345
87,345
88,346
97,346
98,345
99,346
102,346
103,345
110,345
103,345
102,346
99,346
98,345
97,346
88,346
87,345
86,345
85,346
71,346
70,345
68,345
67,346
64,346
63,345
60,345
58,343
58,339
57,338
58,337
58,334
57,333
57,320
58,319
58,314
61,311
62,311
63,312
103,312
104,313
108,313
109,312
110,312
110,310
247,308
247,309
245,311
244,311
243,312
232,312
231,311
230,311
229,312
228,312
228,313
227,314
227,344
228,345
231,345
232,346
238,346
241,349
241,350
242,351
241,352
242,351
241,350
241,348
239,346
232,346
231,345
229,345
227,343
227,315
228,314
228,313
229,312
230,312
231,311
232,312
243,312
244,311
246,311
247,310
272,306
271,307
271,308
270,309
270,312
272,314
272,341
273,342
273,344
269,348
269,352
269,349
270,348
270,347
271,346
272,346
272,345
273,344
273,342
272,341
272,313
270,311
270,309
273,306
221,297
221,298
220,299
220,302
219,303
219,323
218,324
218,325
219,326
219,341
220,342
219,343
219,344
218,345
215,345
214,346
211,346
210,347
209,347
208,348
208,349
207,350
207,352
208,353
208,354
209,355
211,355
212,356
213,356
214,357
215,357
216,356
238,356
239,355
240,355
241,354
240,354
238,356
216,356
215,357
214,357
213,356
212,356
211,355
210,355
207,352
207,350
211,346
214,346
215,345
219,345
219,343
220,342
219,341
219,326
218,325
218,324
219,323
219,303
220,302
220,299
221,298
225,296
225,297
224,298
223,297
224,298
225,297
226,298
226,301
227,302
227,304
228,304
229,305
231,305
232,304
235,304
236,305
238,305
239,304
241,304
242,305
244,305
245,306
247,306
246,306
245,305
242,305
241,304
239,304
238,305
236,305
235,304
232,304
231,305
229,305
227,303
227,301
226,300
226,298
225,297
457,271
456,272
455,272
453,274
453,275
452,276
453,277
453,279
455,281
456,280
457,281
458,281
459,280
460,281
461,281
463,279
462,278
463,277
463,275
463,277
462,278
462,279
460,281
459,280
458,281
457,281
456,280
455,280
453,278
453,277
452,276
457,271
459,271
460,272
461,272
462,273
462,272
461,272
460,271
227,255
227,269
226,270
226,271
224,273
223,273
224,273
225,274
225,273
226,272
226,270
227,269
229,251
228,252
228,253
228,252
229,251
313,251
314,252
315,252
316,251
320,251
321,252
328,252
329,251
330,251
331,252
332,252
333,251
364,251
365,252
365,258
366,259
365,260
365,272
366,273
366,275
365,276
365,277
366,278
366,292
365,293
365,294
366,295
365,296
365,298
366,299
366,306
365,307
366,308
366,317
365,318
365,319
366,320
366,325
365,326
366,327
366,329
365,330
365,334
366,335
366,337
365,338
365,344
364,345
346,345
345,346
339,346
337,348
338,348
340,346
345,346
346,345
365,345
365,343
366,342
365,341
365,338
366,337
366,335
365,334
365,330
366,329
366,327
365,326
366,325
366,320
365,319
365,318
366,317
366,308
365,307
366,306
366,299
365,298
365,296
366,295
365,294
365,293
366,292
366,278
365,277
365,276
366,275
366,273
365,272
365,260
366,259
365,258
365,252
364,251
333,251
332,252
331,252
330,251
329,251
328,252
321,252
320,251
316,251
315,252
314,252
313,251
61,247
60,248
59,248
59,249
58,250
58,267
57,268
57,272
58,273
58,274
57,275
57,298
58,299
58,304
60,304
61,305
62,305
63,304
89,304
90,305
92,305
93,304
103,304
104,305
107,305
108,306
109,306
110,307
111,307
110,307
108,305
104,305
103,304
93,304
92,305
90,305
89,304
63,304
62,305
61,305
60,304
59,304
58,303
58,299
57,298
57,275
58,274
58,273
57,272
57,268
58,267
58,250
61,247
62,247
58,243
58,246
371,238
371,240
372,241
372,250
373,251
373,280
374,281
373,282
373,318
374,319
373,320
373,339
374,340
373,339
373,320
374,319
373,318
373,282
374,281
373,280
373,251
372,250
372,240
371,239
367,237
367,238
366,239
366,240
363,243
337,243
336,244
328,244
327,243
321,243
320,244
311,244
310,243
227,243
226,244
223,244
221,246
221,247
220,248
220,252
219,253
219,266
220,267
220,273
221,274
221,273
220,272
220,267
219,266
219,253
220,252
220,248
224,244
226,244
227,243
310,243
311,244
320,244
321,243
327,243
328,244
336,244
337,243
364,243
366,241
366,240
367,239
368,239
367,238
362,206
363,207
363,208
364,209
365,209
366,210
375,210
376,209
404,209
405,210
410,210
411,209
414,209
415,210
425,210
426,209
436,209
437,210
439,210
440,209
444,209
445,210
447,210
445,210
444,209
440,209
439,210
437,210
436,209
426,209
425,210
415,210
414,209
411,209
410,210
405,210
404,209
376,209
375,210
367,210
366,209
365,209
368,202
367,203
364,203
363,204
362,204
363,204
364,205
364,204
365,203
367,203
368,202
447,202
161,175
161,177
162,178
162,216
163,217
163,218
162,219
162,220
163,221
163,230
162,231
163,232
163,234
162,235
162,244
163,245
163,277
162,278
162,280
161,281
160,281
159,282
158,282
157,281
157,279
156,278
156,272
155,271
156,270
156,268
155,267
155,257
156,256
155,255
155,249
153,247
155,249
155,255
156,256
155,257
155,267
156,268
156,270
155,271
156,272
156,279
157,280
157,282
159,282
160,281
161,282
162,281
162,279
163,278
163,245
162,244
162,235
163,234
163,232
162,231
163,230
163,221
162,220
162,219
163,218
163,217
162,216
162,177
161,176
156,175
156,177
155,178
155,184
154,185
154,188
155,189
155,207
154,208
154,238
152,240
97,240
96,239
95,240
63,240
62,241
61,241
58,238
58,237
57,236
57,235
55,233
54,234
53,233
52,233
51,234
50,233
48,235
48,238
47,239
47,349
48,350
48,353
50,355
54,355
55,356
110,356
111,355
114,355
115,354
115,350
115,353
113,355
111,355
110,356
55,356
54,355
50,355
49,354
49,353
48,352
48,350
47,349
47,239
48,238
48,236
50,234
51,234
52,233
53,233
54,234
55,234
57,236
57,237
58,238
58,239
59,240
60,240
61,241
62,241
63,240
95,240
96,239
97,240
149,240
150,241
151,240
152,240
153,239
154,239
154,208
155,207
155,189
154,188
154,185
155,184
155,178
156,177
457,167
460,167
461,168
461,169
463,171
463,232
462,233
462,235
461,236
459,236
458,237
457,237
456,236
455,236
454,235
454,234
453,233
453,229
452,228
452,211
450,209
449,209
452,212
452,228
453,229
453,234
455,236
456,236
457,237
458,237
459,236
460,237
462,235
462,233
463,232
463,171
462,170
462,169
460,167
455,167
454,168
454,169
453,170
453,176
452,177
453,178
453,180
452,181
453,182
453,183
452,184
452,200
451,201
450,201
449,202
450,202
451,201
452,201
452,184
453,183
453,182
452,181
453,180
453,178
452,177
453,176
453,171
454,170
454,169
455,168
57,163
57,165
58,166
58,168
57,169
57,180
56,181
56,182
55,183
54,183
53,184
52,184
53,184
54,183
55,184
56,183
56,181
57,180
57,169
58,168
58,166
57,165
50,158
48,160
48,163
47,164
47,178
48,179
48,182
50,184
50,183
49,183
48,182
48,179
47,178
47,164
48,163
48,161
50,159
51,159
52,158
53,158
54,159
55,159
56,160
56,161
57,161
56,160
56,159
55,158
54,159
53,158
52,158
51,159
458,117
457,118
455,118
454,119
454,121
453,122
453,124
452,125
452,126
453,127
453,129
455,131
455,132
455,130
453,128
453,127
452,126
452,125
453,124
453,122
454,121
454,120
456,118
457,118
458,117
459,118
460,118
463,121
463,128
462,129
462,130
460,132
459,131
458,132
457,132
458,132
459,131
460,132
461,132
462,131
462,129
463,128
463,121
462,120
462,119
461,118
459,118
316,70
322,70
323,71
324,71
326,73
326,200
325,201
322,201
321,202
320,201
319,202
295,202
294,201
290,201
289,202
288,202
287,201
286,201
285,202
284,202
283,201
282,202
277,202
276,201
264,201
263,202
261,202
260,201
259,201
258,202
257,201
255,201
254,202
253,201
251,201
250,202
248,202
247,201
246,201
245,202
225,202
224,203
223,203
222,204
223,205
223,208
224,208
225,209
329,209
330,208
333,208
334,207
334,185
333,184
333,170
334,169
334,168
333,167
334,166
334,152
333,151
333,143
334,142
334,128
333,127
